NB.6H,NB.1D,NB.3D
Gtpbp4,Hcfc1r1-ps1,
Gm44443,Gm5621,
Zfp276,Gm29909,
Cdrt4os2,Trpm8,
Gm47417,Gm15721,
Gm44699,Ptk2,
Ogn,Gm25059,
Gm24270,Nectin1,
Gm29491,Man2a2,
Lnp1,Gm49499,
Gm23576,Olfr114,
Vmn2r53,Naip5,
Gm47693,Gm20953,
Gm23949,Mir3473g,
Hyal6,Gm45237,
Gm19046,Cd81,
Gm5338,Gm25677,
4933438B17Rik,Mir680-3,
Gm22748,H2bu1-ps,
Scn4a,Col6a4,
Gm21057,Adamts4,
Gm33601,Gm7821,
Gm12298,Gm33973,
Gm17032,Ssh1,
Gm8165,Mir3110,
Zdhhc7,Acbd3,
Rell2,Gm26801,
Rbbp5,Card10,
Cetn3,Gm49501,
4930415O11Rik,Mir6420,
Gm23016,Kcne1l,
Mpv17,Zfp318,
Gm44546,Gm12550,
Mir7678,Gm22157,
Gm46453,Gm27233,
Pate11,Gm9061,
Plut,Gm43312,
Gm27760,Gm11619,
Gm21897,Gm4654,
Serinc1,Gm18911,
Mir3062,Gm12059,
Usp50,Olfr987,
Gm49923,Mmp28,
Gm6807,Vmn2r1,
Gm18623,Gm12869,
Gm24261,Adgra1,
Accsl,Gm15153,
Gm27851,Tuba4a,
Gm22118,Wdr38,
Gm22750,Gm45907,
Gm27280,Gm5645,
Gm5176,Olfr992,
Gm24432,Gm38191,
Cand2,Kctd9,
Gm25374,n-R5s30,
Gm23252,Fkbp1a-ps3,
Gm37142,Alg14,
Gm42551,Efr3a,
4921534H16Rik,Gm10247,
1700120G11Rik,Gm30371,
Gm25102,Gtf2e2,
Gm49483,Gm23253,
Npl,Ly6f,
Gm23746,Fancm,
n-R5s187,Gm48691,
Gm25068,,
Gm22475,,
AC164084.1,,
Gm24277,,
Gm23266,,
Gpr15,,
Gm23017,,
Gm31186,,
Gm9370,,
Gm15452,,
Gm49217,,
1600012P17Rik,,
Olfr1331,,
4930414F18Rik,,
Gm14042,,
Gm49150,,
Gm24291,,
Gm24302,,
Gm8357,,
Gm16032,,
Prkab2,,
Gm25701,,
Gm25763,,
Gm24795,,
Gm45886,,
A230108P19Rik,,
Gm6653,,
Foxo1,,
Eif4ebp1,,
Gm29676,,
Rp2,,
Gm22306,,
Gm24170,,
Gm27036,,
Mroh6,,
4930417O13Rik,,
Slc22a28,,
Olfr448,,
Gm42958,,
Gm25764,,
Gm22739,,
Rab10os,,
Fzd8,,
Gm47020,,
Gm38275,,
Slc27a3,,
Gm11100,,
Gm22670,,
Gm22056,,
Zswim7,,
Mir6405,,
Gm8275,,
C030005K06Rik,,
Gm21129,,
Kif3c,,
Gm7768,,
Olfr626-ps1,,
4921533I20Rik,,
Gm25578,,
Rpl36-ps7,,
Gm43294,,
Mmrn2,,
Mir293,,
Rgp1,,
Gabra1,,
Gm26782,,
Gm15536,,
n-R5s52,,
Gm36372,,
Gm21783,,
Gm47300,,
Kalrn,,
Mir7233,,
Gm22752,,
Gm10770,,
Gm18079,,
Atp10b,,
Gm47954,,
Gm22468,,
Gm23406,,
Gm22083,,
Gm10434,,
Gm37726,,
Gm24150,,
Agtr1b,,
Lcn12,,
Arhgef18,,
Gm47764,,
Gm44346,,
Gm23061,,
Mir7007,,
AC133095.1,,
Gm37066,,
Gm22099,,
Gm21921,,
Gm37564,,
Gm22600,,
